fname,time_sec,dominant_color
s01e02_mr_dinosaur_is_lost_45.jpg,220,#7bc266
s01e02_mr_dinosaur_is_lost_46.jpg,225,#7cbaa9
s01e02_mr_dinosaur_is_lost_47.jpg,230,#80b4d6
s01e02_mr_dinosaur_is_lost_48.jpg,235,#82b3ec
s01e02_mr_dinosaur_is_lost_49.jpg,240,#7fb4d9
s01e02_mr_dinosaur_is_lost_50.jpg,245,#83b4ef
s01e02_mr_dinosaur_is_lost_51.jpg,250,#82b3ec
s01e02_mr_dinosaur_is_lost_52.jpg,255,#83b3ef
s01e02_mr_dinosaur_is_lost_53.jpg,260,#7fb6cf
s01e02_mr_dinosaur_is_lost_54.jpg,265,#7fb6d2
s01e02_mr_dinosaur_is_lost_55.jpg,270,#81b5db
s01e02_mr_dinosaur_is_lost_56.jpg,275,#81b3e7
s01e02_mr_dinosaur_is_lost_57.jpg,280,#74bb66
s01e02_mr_dinosaur_is_lost_58.jpg,285,#6394d3
s01e02_mr_dinosaur_is_lost_59.jpg,290,#6394d3
s01e02_mr_dinosaur_is_lost_60.jpg,295,#6494d3
s01e02_mr_dinosaur_is_lost_61.jpg,300,#6494d4
s01e02_mr_dinosaur_is_lost_62.jpg,305,#040404
s01e03_polly_parrot_1.jpg,0,#84b4f2
s01e03_polly_parrot_2.jpg,5,#84b3f0
s01e03_polly_parrot_3.jpg,10,#81b0ef
s01e03_polly_parrot_4.jpg,15,#84b4f1
s01e03_polly_parrot_5.jpg,20,#84b3f1
s01e03_polly_parrot_6.jpg,25,#85b4ef
s01e03_polly_parrot_7.jpg,30,#85b0e7
s01e03_polly_parrot_8.jpg,35,#83aee5
s01e03_polly_parrot_9.jpg,40,#83aee6
s01e03_polly_parrot_10.jpg,45,#83b2f1
s01e03_polly_parrot_11.jpg,50,#c8c3e7
s01e03_polly_parrot_12.jpg,55,#84b2e7
s01e03_polly_parrot_13.jpg,60,#6cb0b2
s01e03_polly_parrot_14.jpg,65,#72a3b5
s01e03_polly_parrot_15.jpg,70,#68bdaf
s01e03_polly_parrot_16.jpg,75,#b8a1b5
s01e03_polly_parrot_17.jpg,80,#739bb8
s01e03_polly_parrot_18.jpg,85,#739db8
s01e03_polly_parrot_19.jpg,90,#729db6
s01e03_polly_parrot_20.jpg,95,#6cb9b4
s01e03_polly_parrot_21.jpg,100,#73a1b6
s01e03_polly_parrot_22.jpg,105,#787ebf
s01e03_polly_parrot_23.jpg,110,#7487bc
s01e03_polly_parrot_24.jpg,115,#c5becd
s01e03_polly_parrot_25.jpg,120,#ba95db
s01e03_polly_parrot_26.jpg,125,#b995db
s01e03_polly_parrot_27.jpg,130,#cab9e2
s01e03_polly_parrot_28.jpg,135,#ba95da
s01e03_polly_parrot_29.jpg,140,#c4a7d8
s01e03_polly_parrot_30.jpg,145,#c2a7d6
s01e03_polly_parrot_31.jpg,150,#70a0b7
s01e03_polly_parrot_32.jpg,155,#709eb7
s01e03_polly_parrot_33.jpg,160,#6abdb2
s01e03_polly_parrot_34.jpg,165,#6ea1b5
s01e03_polly_parrot_35.jpg,170,#7199ba
s01e03_polly_parrot_36.jpg,175,#729eb9
s01e03_polly_parrot_37.jpg,180,#69beb0
s01e03_polly_parrot_38.jpg,185,#7198ba
s01e03_polly_parrot_39.jpg,190,#69beb1
s01e03_polly_parrot_40.jpg,195,#7498b9
s01e03_polly_parrot_41.jpg,200,#7a69c1
s01e03_polly_parrot_42.jpg,205,#786cc0
s01e03_polly_parrot_43.jpg,210,#729aba
s01e03_polly_parrot_44.jpg,215,#6f9bb8
s01e03_polly_parrot_45.jpg,220,#6abdb1
s01e03_polly_parrot_46.jpg,225,#729bbb
s01e03_polly_parrot_47.jpg,230,#759bb7
s01e03_polly_parrot_48.jpg,235,#e99d95
s01e03_polly_parrot_49.jpg,240,#796dc2
s01e03_polly_parrot_50.jpg,245,#df9eb4
s01e03_polly_parrot_51.jpg,250,#6bbbb1
